iter	Passed	Remaining
898	23036	2588
899	23062	2562
900	23088	2536
901	23113	2511
902	23138	2485
903	23163	2459
904	23190	2434
905	23217	2408
906	23245	2383
907	23275	2358
908	23304	2332
909	23329	2307
910	23355	2281
911	23383	2256
912	23408	2230
913	23434	2204
914	23459	2179
915	23486	2153
916	23511	2128
917	23537	2102
918	23562	2076
919	23589	2051
920	23614	2025
921	23642	2000
922	23670	1974
923	23695	1948
924	23725	1923
925	23751	1898
926	23776	1872
927	23804	1846
928	23830	1821
929	23855	1795
930	23882	1770
931	23908	1744
932	23937	1718
933	23962	1693
934	23988	1667
935	24018	1642
936	24045	1616
937	24070	1591
938	24097	1565
939	24122	1539
940	24149	1514
941	24174	1488
942	24201	1462
943	24226	1437
944	24255	1411
945	24283	1386
946	24309	1360
947	24337	1334
948	24364	1309
949	24389	1283
950	24414	1257
951	24444	1232
952	24469	1206
953	24497	1181
954	24522	1155
955	24549	1129
956	24574	1104
957	24599	1078
958	24625	1052
959	24652	1027
960	24679	1001
961	24704	975
962	24736	950
963	24764	924
964	24790	899
965	24819	873
966	24848	847
967	24875	822
968	24902	796
969	24929	771
970	24959	745
971	24992	719
972	25021	694
973	25046	668
974	25071	642
975	25098	617
976	25125	591
977	25151	565
978	25178	540
979	25204	514
980	25233	488
981	25263	463
982	25292	437
983	25319	411
984	25347	386
985	25375	360
986	25401	334
987	25427	308
988	25453	283
989	25481	257
990	25507	231
991	25532	205
992	25559	180
993	25586	154
994	25614	128
995	25641	102
996	25665	77
997	25691	51
998	25717	25
999	25748	0
